n00004475	organism, being
n02340186	dusky-footed woodrat, Neotoma fuscipes
n02340358	eastern woodrat, Neotoma floridana
n02340640	rice rat, Oryzomys palustris
n02340930	pine vole, pine mouse, Pitymys pinetorum
n02341288	meadow vole, meadow mouse, Microtus pennsylvaticus
n02341475	water vole, Richardson vole, Microtus richardsoni
n02341616	prairie vole, Microtus ochrogaster
n02341974	water vole, water rat, Arvicola amphibius
n02342250	red-backed mouse, redback vole
n02342534	phenacomys
n02342885	hamster
n02343058	Eurasian hamster, Cricetus cricetus
n02343320	golden hamster, Syrian hamster, Mesocricetus auratus
n02343772	gerbil, gerbille
n02344175	jird
n02344270	tamarisk gerbil, Meriones unguiculatus
n02344408	sand rat, Meriones longifrons
n02344528	lemming
n02344918	European lemming, Lemmus lemmus
n02345078	brown lemming, Lemmus trimucronatus
n02345340	grey lemming, gray lemming, red-backed lemming
n02345600	pied lemming
n02345774	Hudson bay collared lemming, Dicrostonyx hudsonius
n02345997	southern bog lemming, Synaptomys cooperi
n02346170	northern bog lemming, Synaptomys borealis
n02346627	porcupine, hedgehog
n02346998	Old World porcupine
n02347274	brush-tailed porcupine, brush-tail porcupine
n02347573	long-tailed porcupine, Trichys lipura
n02347744	New World porcupine
n02348173	Canada porcupine, Erethizon dorsatum
n02348788	pocket mouse
n02349205	silky pocket mouse, Perognathus flavus
n02349390	plains pocket mouse, Perognathus flavescens
n02349557	hispid pocket mouse, Perognathus hispidus
n02349847	Mexican pocket mouse, Liomys irroratus
n02350105	kangaroo rat, desert rat, Dipodomys phillipsii
n02350357	Ord kangaroo rat, Dipodomys ordi
n02350670	kangaroo mouse, dwarf pocket rat
n02350989	jumping mouse
n02351343	meadow jumping mouse, Zapus hudsonius
n02351870	jerboa
n02352002	typical jerboa
n02352290	Jaculus jaculus
n02352591	dormouse
n02352932	loir, Glis glis
n02353172	hazel mouse, Muscardinus avellanarius
n02353411	lerot
n02353861	gopher, pocket gopher, pouched rat
n02354162	plains pocket gopher, Geomys bursarius
n02354320	southeastern pocket gopher, Geomys pinetis
n02354621	valley pocket gopher, Thomomys bottae
n02354781	northern pocket gopher, Thomomys talpoides
n02355227	squirrel
n02355477	tree squirrel
n02356381	eastern grey squirrel, eastern gray squirrel, cat squirrel, Sciurus carolinensis
n02356612	western grey squirrel, western gray squirrel, Sciurus griseus
n02356798	fox squirrel, eastern fox squirrel, Sciurus niger
n02356977	black squirrel
n02357111	red squirrel, cat squirrel, Sciurus vulgaris
n02357401	American red squirrel, spruce squirrel, red squirrel, Sciurus hudsonicus, Tamiasciurus hudsonicus
n02357585	chickeree, Douglas squirrel, Tamiasciurus douglasi
n02357911	antelope squirrel, whitetail antelope squirrel, antelope chipmunk, Citellus leucurus
n02358091	ground squirrel, gopher, spermophile
n02358390	mantled ground squirrel, Citellus lateralis
n02358584	suslik, souslik, Citellus citellus
n02358712	flickertail, Richardson ground squirrel, Citellus richardsoni
n02358890	rock squirrel, Citellus variegatus
n02359047	Arctic ground squirrel, parka squirrel, Citellus parryi
n02359324	prairie dog, prairie marmot
n02359556	blacktail prairie dog, Cynomys ludovicianus
n02359667	whitetail prairie dog, Cynomys gunnisoni
n02359915	eastern chipmunk, hackee, striped squirrel, ground squirrel, Tamias striatus
n02360282	chipmunk
n02360480	baronduki, baranduki, barunduki, burunduki, Eutamius asiaticus, Eutamius sibiricus
n02360781	American flying squirrel
n02360933	southern flying squirrel, Glaucomys volans
n02361090	northern flying squirrel, Glaucomys sabrinus
n02361337	marmot
n02361587	groundhog, woodchuck, Marmota monax
n02361706	hoary marmot, whistler, whistling marmot, Marmota caligata
n02361850	yellowbelly marmot, rockchuck, Marmota flaviventris
n02362194	Asiatic flying squirrel
n02363005	beaver
n02363245	Old World beaver, Castor fiber
n02363351	New World beaver, Castor canadensis
n02363996	mountain beaver, sewellel, Aplodontia rufa
n02364520	cavy
n02364673	guinea pig, Cavia cobaya
n02364840	aperea, wild cavy, Cavia porcellus
n02365108	mara, Dolichotis patagonum
n02365480	capybara, capibara, Hydrochoerus hydrochaeris
n02366002	agouti, Dasyprocta aguti
n02366301	paca, Cuniculus paca
n02366579	mountain paca
n02366959	coypu, nutria, Myocastor coypus
n02367492	chinchilla, Chinchilla laniger
n02367812	mountain chinchilla, mountain viscacha
n02368116	viscacha, chinchillon, Lagostomus maximus
n02368399	abrocome, chinchilla rat, rat chinchilla
n02368821	mole rat
n02369293	mole rat
n02369555	sand rat
n02369680	naked mole rat
n02369935	queen, queen mole rat
n02370137	Damaraland mole rat
n02370525	Ungulata
n02370806	ungulate, hoofed mammal
n02371344	unguiculate, unguiculate mammal
n02372140	dinoceras, uintathere
n02372584	hyrax, coney, cony, dassie, das
n02372952	rock hyrax, rock rabbit, Procavia capensis
n02373336	odd-toed ungulate, perissodactyl, perissodactyl mammal
n02374149	equine, equid
n02374451	horse, Equus caballus
n02375302	roan
n02375438	stablemate, stable companion
n02375757	gee-gee
n02375862	eohippus, dawn horse
n02376542	foal
n02376679	filly
n02376791	colt
n02376918	male horse
n02377063	ridgeling, ridgling, ridgel, ridgil
n02377181	stallion, entire
n02377291	stud, studhorse
n02377388	gelding
n02377480	mare, female horse
n02377603	broodmare, stud mare
n02377703	saddle horse, riding horse, mount
n02378149	remount
n02378299	palfrey
n02378415	warhorse
n02378541	cavalry horse
n02378625	charger, courser
n02378755	steed
n02378870	prancer
n02378969	hack
n02379081	cow pony
n02379183	quarter horse
n02379329	Morgan
n02379430	Tennessee walker, Tennessee walking horse, Walking horse, Plantation walking horse
n02379630	American saddle horse
n02379743	Appaloosa
n02379908	Arabian, Arab
n02380052	Lippizan, Lipizzan, Lippizaner
n02380335	pony
n02380464	polo pony
n02380583	mustang
n02380745	bronco, bronc, broncho
n02380875	bucking bronco
n02381004	buckskin
n02381119	crowbait, crow-bait
n02381261	dun
n02381364	grey, gray
n02381460	wild horse
n02381609	tarpan, Equus caballus gomelini
n02381831	Przewalski's horse, Przevalski's horse, Equus caballus przewalskii, Equus caballus przevalskii
n02382039	cayuse, Indian pony
n02382132	hack
n02382204	hack, jade, nag, plug
n02382338	plow horse, plough horse
n02382437	pony
n02382635	Shetland pony
n02382750	Welsh pony
n02382850	Exmoor
n02382948	racehorse, race horse, bangtail
n02383231	thoroughbred
n02384741	steeplechaser
n02384858	racer
n02385002	finisher
n02385098	pony
n02385214	yearling
n02385580	dark horse
n02385676	mudder
n02385776	nonstarter
n02385898	stalking-horse
n02386014	harness horse
n02386141	cob
n02386224	hackney
n02386310	workhorse
n02386496	draft horse, draught horse, dray horse
n02386746	packhorse
n02386853	carthorse, cart horse, drayhorse
n02386968	Clydesdale
n02387093	Percheron
n02387254	farm horse, dobbin
n02387346	shire, shire horse
n02387452	pole horse, poler
n02387722	post horse, post-horse, poster
n02387887	coach horse
n02387983	pacer
n02388143	pacer, pacemaker, pacesetter
n02388276	trotting horse, trotter
n02388453	pole horse
n02388588	stepper, high stepper
n02388735	chestnut
n02388832	liver chestnut
n02388917	bay
n02389026	sorrel
n02389128	palomino
n02389261	pinto
n02389346	ass
n02389559	domestic ass, donkey, Equus asinus
n02389779	burro
n02389865	moke
n02389943	jack, jackass
n02390015	jennet, jenny, jenny ass
n02390101	mule
n02390258	hinny
n02390454	wild ass
n02390640	African wild ass, Equus asinus
n02390738	kiang, Equus kiang
n02390834	onager, Equus hemionus
n02390938	chigetai, dziggetai, Equus hemionus hemionus
n02391049	zebra
n02391234	common zebra, Burchell's zebra, Equus Burchelli
n02391373	mountain zebra, Equus zebra zebra
n02391508	grevy's zebra, Equus grevyi
n02391617	quagga, Equus quagga
n02391994	rhinoceros, rhino
n02392434	Indian rhinoceros, Rhinoceros unicornis
n02392555	woolly rhinoceros, Rhinoceros antiquitatis
n02392824	white rhinoceros, Ceratotherium simum, Diceros simus
n02393161	black rhinoceros, Diceros bicornis
n02393580	tapir
n02393807	New World tapir, Tapirus terrestris
n02393940	Malayan tapir, Indian tapir, Tapirus indicus
n02394477	even-toed ungulate, artiodactyl, artiodactyl mammal
n02395003	swine
n02395406	hog, pig, grunter, squealer, Sus scrofa
n02395694	piglet, piggy, shoat, shote
n02395855	sucking pig
n02395931	porker
n02396014	boar
n02396088	sow
n02396157	razorback, razorback hog, razorbacked hog
n02396427	wild boar, boar, Sus scrofa
n02396796	babirusa, babiroussa, babirussa, Babyrousa Babyrussa
n02397096	warthog
n02397529	peccary, musk hog
n02397744	collared peccary, javelina, Tayassu angulatus, Tayassu tajacu, Peccari angulatus
n02397987	white-lipped peccary, Tayassu pecari
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
n02399000	ruminant
n02401031	bovid
n02402010	bovine
n02402175	ox, wild ox
n02402425	cattle, cows, kine, oxen, Bos taurus
n02403003	ox
n02403153	stirk
n02403231	bullock, steer
n02403325	bull
n02403454	cow, moo-cow
n02403740	heifer
n02403820	bullock
n02403920	dogie, dogy, leppy
n02404028	maverick
n02404186	beef, beef cattle
n02404432	longhorn, Texas longhorn
n02404573	Brahman, Brahma, Brahmin, Bos indicus
n02404906	zebu
n02405101	aurochs, urus, Bos primigenius
n02405302	yak, Bos grunniens
n02405440	banteng, banting, tsine, Bos banteng
n02405577	Welsh, Welsh Black
n02405692	red poll
n02405799	Santa Gertrudis
n02405929	Aberdeen Angus, Angus, black Angus
n02406046	Africander
n02406174	dairy cattle, dairy cow, milch cow, milk cow, milcher, milker
n02406432	Ayrshire
n02406533	Brown Swiss
n02406647	Charolais
n02406749	Jersey
n02406859	Devon
n02406952	grade
n02407071	Durham, shorthorn
n02407172	milking shorthorn
n02407276	Galloway
n02407390	Friesian, Holstein, Holstein-Friesian
n02407521	Guernsey
n02407625	Hereford, whiteface
n02407763	cattalo, beefalo
n02407959	Old World buffalo, buffalo
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n02408660	Indian buffalo
n02408817	carabao
n02409038	anoa, dwarf buffalo, Anoa depressicornis
n02409202	tamarau, tamarao, Bubalus mindorensis, Anoa mindorensis
n02409508	Cape buffalo, Synercus caffer
n02409870	Asian wild ox
n02410011	gaur, Bibos gaurus
n02410141	gayal, mithan, Bibos frontalis
n02410509	bison
n02410702	American bison, American buffalo, buffalo, Bison bison
n02410900	wisent, aurochs, Bison bonasus
n02411206	musk ox, musk sheep, Ovibos moschatus
n02411705	sheep
n02411999	ewe
n02412080	ram, tup
n02412210	wether
n02412440	lamb
n02412629	lambkin
n02412700	baa-lamb
n02412787	hog, hogget, hogg
n02412909	teg
n02412977	Persian lamb
n02413050	black sheep
n02413131	domestic sheep, Ovis aries
n02413484	Cotswold
n02413593	Hampshire, Hampshire down
n02413717	Lincoln
n02413824	Exmoor
n02413917	Cheviot
n02414043	broadtail, caracul, karakul
n02414209	longwool
n02414290	merino, merino sheep
n02414442	Rambouillet
n02414578	wild sheep
n02414763	argali, argal, Ovis ammon
n02414904	Marco Polo sheep, Marco Polo's sheep, Ovis poli
n02415130	urial, Ovis vignei
n02415253	Dall sheep, Dall's sheep, white sheep, Ovis montana dalli
n02415435	mountain sheep
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02415829	mouflon, moufflon, Ovis musimon
n02416104	aoudad, arui, audad, Barbary sheep, maned sheep, Ammotragus lervia
n02416519	goat, caprine animal
n02416820	kid
n02416880	billy, billy goat, he-goat
n02416964	nanny, nanny-goat, she-goat
n02417070	domestic goat, Capra hircus
n02417242	Cashmere goat, Kashmir goat
n02417387	Angora, Angora goat
n02417534	wild goat
n02417663	bezoar goat, pasang, Capra aegagrus
n02417785	markhor, markhoor, Capra falconeri
n02417914	ibex, Capra ibex
n02418064	goat antelope
n02418465	mountain goat, Rocky Mountain goat, Oreamnos americanus
n02418770	goral, Naemorhedus goral
n02419056	serow
n02419336	chamois, Rupicapra rupicapra
n02419634	takin, gnu goat, Budorcas taxicolor
n02419796	antelope
n02420509	blackbuck, black buck, Antilope cervicapra
n02420828	gerenuk, Litocranius walleri
n02421136	addax, Addax nasomaculatus
n02421449	gnu, wildebeest
n02421792	dik-dik
n02422106	hartebeest
n02422391	sassaby, topi, Damaliscus lunatus
n02422699	impala, Aepyceros melampus
n02423022	gazelle
n02423218	Thomson's gazelle, Gazella thomsoni
n02423362	Gazella subgutturosa
n02423589	springbok, springbuck, Antidorcas marsupialis, Antidorcas euchore
n02424085	bongo, Tragelaphus eurycerus, Boocercus eurycerus
n02424305	kudu, koodoo, koudou
n02424486	greater kudu, Tragelaphus strepsiceros
n02424589	lesser kudu, Tragelaphus imberbis
n02424695	harnessed antelope
n02424909	nyala, Tragelaphus angasi
n02425086	mountain nyala, Tragelaphus buxtoni
n02425228	bushbuck, guib, Tragelaphus scriptus
n02425532	nilgai, nylghai, nylghau, blue bull, Boselaphus tragocamelus
n02425887	sable antelope, Hippotragus niger
n02426176	saiga, Saiga tatarica
n02426481	steenbok, steinbok, Raphicerus campestris
n02426813	eland
n02427032	common eland, Taurotragus oryx
n02427183	giant eland, Taurotragus derbianus
n02427470	kob, Kobus kob
n02427576	lechwe, Kobus leche
n02427724	waterbuck
n02428089	puku, Adenota vardoni
n02428349	oryx, pasang
n02428508	gemsbok, gemsbuck, Oryx gazella
n02428842	forest goat, spindle horn, Pseudoryx nghetinhensis
n02429456	pronghorn, prongbuck, pronghorn antelope, American antelope, Antilocapra americana
n02430045	deer, cervid
n02430559	stag
n02430643	royal, royal stag
n02430748	pricket
n02430830	fawn
n02431122	red deer, elk, American elk, wapiti, Cervus elaphus
n02431337	hart, stag
n02431441	hind
n02431542	brocket
n02431628	sambar, sambur, Cervus unicolor
n02431785	wapiti, elk, American elk, Cervus elaphus canadensis
n02431976	Japanese deer, sika, Cervus nipon, Cervus sika
n02432291	Virginia deer, white tail, whitetail, white-tailed deer, whitetail deer, Odocoileus Virginianus
n02432511	mule deer, burro deer, Odocoileus hemionus
n02432704	black-tailed deer, blacktail deer, blacktail, Odocoileus hemionus columbianus
n02432983	elk, European elk, moose, Alces alces
n02433318	fallow deer, Dama dama
n02433546	roe deer, Capreolus capreolus
n02433729	roebuck
n02433925	caribou, reindeer, Greenland caribou, Rangifer tarandus
n02434190	woodland caribou, Rangifer caribou
n02434415	barren ground caribou, Rangifer arcticus
n02434712	brocket
n02434954	muntjac, barking deer
n02435216	musk deer, Moschus moschiferus
n02435517	pere david's deer, elaphure, Elaphurus davidianus
n02435853	chevrotain, mouse deer
n02436224	kanchil, Tragulus kanchil
n02436353	napu, Tragulus Javanicus
n02436645	water chevrotain, water deer, Hyemoschus aquaticus
n02437136	camel
n02437312	Arabian camel, dromedary, Camelus dromedarius
n02437482	Bactrian camel, Camelus bactrianus
n02437616	llama
n02437971	domestic llama, Lama peruana
n02438173	guanaco, Lama guanicoe
n02438272	alpaca, Lama pacos
n02438580	vicuna, Vicugna vicugna
n02439033	giraffe, camelopard, Giraffa camelopardalis
n02439398	okapi, Okapia johnstoni
n02441326	musteline mammal, mustelid, musteline
n02441942	weasel
n02442172	ermine, shorttail weasel, Mustela erminea
n02442336	stoat
n02442446	New World least weasel, Mustela rixosa
n02442572	Old World least weasel, Mustela nivalis
n02442668	longtail weasel, long-tailed weasel, Mustela frenata
n02442845	mink
n02443015	American mink, Mustela vison
n02443114	polecat, fitch, foulmart, foumart, Mustela putorius
n02443346	ferret
n02443484	black-footed ferret, ferret, Mustela nigripes
n02443808	muishond
n02443959	snake muishond, Poecilogale albinucha
n02444251	striped muishond, Ictonyx striata
n02444819	otter
n02445004	river otter, Lutra canadensis
n02445171	Eurasian otter, Lutra lutra
n02445394	sea otter, Enhydra lutris
n02445715	skunk, polecat, wood pussy
n02446206	striped skunk, Mephitis mephitis
n02446352	hooded skunk, Mephitis macroura
n02446645	hog-nosed skunk, hognosed skunk, badger skunk, rooter skunk, Conepatus leuconotus
n02447021	spotted skunk, little spotted skunk, Spilogale putorius
n02447366	badger
n02447762	American badger, Taxidea taxus
n02448060	Eurasian badger, Meles meles
n02448318	ratel, honey badger, Mellivora capensis
n02448633	ferret badger
n02448885	hog badger, hog-nosed badger, sand badger, Arctonyx collaris
n02449183	wolverine, carcajou, skunk bear, Gulo luscus
n02449350	glutton, Gulo gulo, wolverine
n02449699	grison, Grison vittatus, Galictis vittatus
n02450034	marten, marten cat
n02450295	pine marten, Martes martes
n02450426	sable, Martes zibellina
n02450561	American marten, American sable, Martes americana
n02450677	stone marten, 
